"alg-geom/9711021","Gerard Laumon","G. Laumon and M. Rapoport","A geometric approach to the fundamental lemma for unitary groups","44 pages, Plain TeX",,,"Preprint Mathematisches Institut der Universitaet zu Koeln 11-97","alg-geom math.AG",,"  We consider from a geometric point of view the conjectural fundamental lemma
of Langlands and Shelstad for unitary groups over a local field of positive
characteristic. We introduce projective algebraic varieties over the finite
residue field $k$ and interpret the conjecture in this case as a remarkable
identity between the number of $k$-rational points of them. We prove the
corresponding identity for the numbers of $k_f$-rational points, for any
extension of even degree $f$ of $k$. The proof uses the local intersection
theory on a regular surface and Deligne's theory of intersection multiplicities
with weights. We also discuss a possible descent argument that uses $\ell$-adic
cohomology to treat extensions of odd degree as well.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 09:08:53 GMT""}]","2007-05-23"
"physics/9711018","Tilmann Hezel","T. Hezel, B. Krevet, H. O. Moser, J. A. Rossmanith, R. Rossmanith, Th.
  Schneider","A superconductive undulator with period length of 3.8 mm",,,,"ANKA Technical Note BES-07/97","physics.acc-ph",,"  During the last years several attempts were undertaken to decrease the period
length of undulators to the mm range. In this paper, a novel type of an
in-vacuum undulator is described which is built with superconductive wires. The
period length of this special device is 3.8 mm. In principle, it is possible to
decrease this period length even further. A 100 period long undulator has been
built and will be tested with beam in the near future.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 12:34:09 GMT""},{""version"":""v2"",""created"":""Thu, 20 Nov 1997 17:23:34 GMT""}]","2009-09-25"
"q-alg/9711014","Jorge Pullin","R. Gambini, J. Griego, J. Pullin","A spin network generalization of the Jones Polynomial and Vassiliev
  invariants","6 pages, revtex, 24 figures","Phys.Lett. B425 (1998) 41-47","10.1016/S0370-2693(98)00182-8","CGPG-97/11-3","q-alg gr-qc hep-th math.QA",,"  We apply the ideas of Alvarez and Labastida to the invariant of spin networks
defined by Witten and Martin based on Chern-Simons theory. We show that it is
possible to define ambient invariants of spin networks that (for the case of
SU(2)) can be considered as extensions to spin networks of the Jones
polynomial. Expansions of the coefficients of the polynomial yield primitive
Vassiliev invariants. The resulting invariants are candidates for solutions of
the Wheeler--DeWitt equations in the spin network representation of quantum
gravity.
","[{""version"":""v1"",""created"":""Tue, 18 Nov 1997 20:30:43 GMT""}]","2009-10-30"
"q-alg/9711015","Dr A. K. Aiston","A. K. Aiston","Adams operators and knot decorations","Latex2e 26 pages with six figures",,,,"q-alg math.QA",,"  We use an explicit isomorphism from the representation ring of the quantum
group U_q(sl(N)) to the Homfly skein of the annulus, to determine an element of
the skein which is the image of the mth Adams operator, \psi_m, on the
fundamental representation, c_1. This element is a linear combination of m very
simple m-string braids. Using this skein element, we show that the Vassiliev
invariant of degree n in the power series expansion of the U_q(sl(N)) quantum
invariant of a knot coloured by \psi_m(c_1) is the canonical Vassiliev
invariant with weight system W_n\psi_m^{(n)} where W_n is the weight system for
the Vassiliev invariant of degree n in the expansion of the quantum invariant
of the knot coloured by c_1 and \psi_m^{(n)} is the Adams operator on n-chord
diagrams defined by Bar-Natan.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 10:44:03 GMT""}]","2007-05-23"
"q-alg/9711016","Stefan Waldmann","Martin Bordemann, Nikolai Neumaier, Stefan Waldmann","Homogeneous Fedosov Star Products on Cotangent Bundles II: GNS
  Representations, the WKB Expansion, and Applications","29 Pages, LaTex2e",,,"FR-THEP 97/23","q-alg math.QA",,"  This paper is part II of a series of papers on the deformation quantization
on the cotangent bundle of an arbitrary manifold $Q$. For certain homogeneous
star products of Weyl ordered type (which we have obtained from a Fedosov type
procedure in part I, see q-alg/9707030) we construct differential operator
representations via the formal GNS construction (see q-alg/9607019). The
positive linear functional is integration over $Q$ with respect to some fixed
density and is shown to yield a reasonable version of the Schr\""odinger
representation where a Weyl ordering prescription is incorporated. Furthermore
we discuss simple examples like free particle Hamiltonians (defined by a
Riemannian metric on $Q$) and the implementation of certain diffeomorphisms of
$Q$ to unitary transformations in the GNS (pre-)Hilbert space and of time
reversal maps (involutive anti-symplectic diffeomorphisms of $T^*Q$) to
anti-unitary transformations. We show that the fixed-point set of any
involutive time reversal map is either empty or a Lagrangean submanifold.
Moreover, we compare our approach to concepts using integral formulas of
generalized Moyal-Weyl type. Furthermore we show that the usual WKB expansion
with respect to a projectable Lagrangean submanifold can be formulated by a GNS
construction. Finally we prove that any homogeneous star product on any
cotangent bundle is strongly closed, i. e. the integral over $T^*Q$ w.r.t. the
symplectic volume vanishes on star-commutators. An alternative Fedosov type
deduction of the star product of standard ordered type using a deformation of
the algebra of symmetric contravariant tensor fields is given.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 11:33:17 GMT""}]","2007-05-23"
"q-alg/9711017","Jorgen Rasmussen","J. Rasmussen","Screening Currents in Affine Current Algebra","18 pages, LaTeX",,,,"q-alg hep-th math.QA",,"  In this paper screening currents of the second kind are considered. They are
constructed in any affine current algebra for directions corresponding to
simple roots with multiplicity one in a decomposition of the highest root on a
set of simple roots. These expressions are precisely of the form previously
conjectured to be valid for all directions in general affine current algebras.
However, by working out explicitly the screening currents in the case of SO(5)
based on the Lie algebra B_2, it is demonstrated that much more complicated
structures appear in the general case. In the distinguished representation of
affine OSp(2|2) current superalgebra, the screening current of the second kind
in the bosonic direction is also provided.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 12:38:10 GMT""}]","2007-05-23"
"quant-ph/9711034","Ass. Prof. Leonid A. Openov","A.M.Bychkov, L.A.Openov and I.A.Semenihin (Moscow State Engineering
  Physics Institute, Technical University)","Single-electron computing without dissipation","5 pages, TeX, 1 Figure","Pisma Zh.Eksp.Teor.Fiz. 66 (1997) 275-279","10.1134/1.567471",,"quant-ph cond-mat.str-el",,"  A possibility to perform single-electron computing without dissipation in the
array of tunnel-coupled quantum dots is studied theoretically, taking the spin
gate NOT (inverter) as an example. It is shown that the logical operation can
be realized at the stage of unitary evolution of electron subsystem, though
complete switching of the inverter cannot be achieved in a reasonable time at
realistic values of model parameters. An optimal input magnetic field is found
as a function of inter-dot tunneling energy and intra-dot Coulomb repulsion
energy.
","[{""version"":""v1"",""created"":""Tue, 18 Nov 1997 17:07:20 GMT""}]","2009-10-30"
"quant-ph/9711035","Martin Stock","Edward Farhi and Sam Gutmann","Quantum Mechanical Square Root Speedup in a Structured Search Problem","6 pages, REVTeX; correspondence to farhi@mitlns.mit.edu",,,"MIT-CTP-2691","quant-ph",,"  An unstructured search for one item out of N can be performed quantum
mechanically in time of order square root of N whereas classically this
requires of order N steps. This raises the question of whether square root
speedup persists in problems with more structure. In this note we focus on one
example of a structured problem and find a quantum algorithm which takes time
of order the square root of the classical time.
","[{""version"":""v1"",""created"":""Tue, 18 Nov 1997 20:00:13 GMT""}]","2007-05-23"
"quant-ph/9711036","Alejandro Cabo","A. Cabo, J. L. Lucio M., V. Villanueva","Central charges in regular mechanics","LaTeX, no figures, corrected for misprints, sent to Annals of
  Physics(NY)",,,,"quant-ph",,"  We consider the algebra associated to a group of transformations which are
symmetries of a regular mechanical system (i.e. system free of constraints).
For time dependent coordinate transformations we show that a central extension
may appear at the classical level which is coordinate and momentum independent.
A cochain formalism naturally arises in the argument and extends the usual
configuration space cochain concepts to phase space.
","[{""version"":""v1"",""created"":""Tue, 18 Nov 1997 19:45:25 GMT""},{""version"":""v2"",""created"":""Fri, 21 Nov 1997 21:13:15 GMT""}]","2007-05-23"
"quant-ph/9711037","Ricardo Moritz Cavalcanti","R. M. Cavalcanti and C. A. A. de Carvalho","On the effectiveness of Gamow's method for calculating decay rates","10 pages, 1 figure, REVTEX. A few modifications, references updated","Rev.Bras.Ens.Fis. 21 (1999) 464",,,"quant-ph",,"  We examine Gamow's method for calculating the decay rate of a wave function
initially located within a potential well. Using elementary techniques, we
examine a very simple, exactly solvable model, in order to show why it is so
reliable for calculating decay rates, in spite of its conceptual problems. We
also discuss the regime of validity of the exponential decay law.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 02:33:44 GMT""},{""version"":""v2"",""created"":""Fri, 12 May 2000 20:37:11 GMT""}]","2007-05-23"
"quant-ph/9711038",,"Zhi-Tao Yan (Department of Physics, Peking University, Beijing, P.R.
  China)","Statistics for Particles Having Internal Quantum State","11 pages, RevTeX style, submitted to Phys.Rev.Lett",,,"PKU-TH-97/45","quant-ph",,"  A new kind of quantum statistics which interpolates between Bose and Fermi
statistics is proposed beginning with the assumption that the quantum state of
a many-particle system is a functional on the internal space of the particles.
The quantum commutation relations for such particle creation and annihilation
operators are derived, and statistical partition function and thermodynamical
properties of an ideal gas of the particles are investigated. The application
of this quantum statistics for the ensemble of extremal black holes are
discussed.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 06:57:58 GMT""}]","2007-05-23"
"quant-ph/9711039","L. Knoell","Ho Trung Dung, L. Knoell, and D.-G. Welsch","Three-dimensional quantization of the electromagnetic field in
  dispersive and absorbing inhomogeneous dielectrics",,,"10.1103/PhysRevA.57.3931",,"quant-ph",,"  A quantization scheme for the phenomenological Maxwell theory of the full
electromagnetic field in an inhomogeneous three-dimensional, dispersive and
absorbing dielectric medium is developed. The classical Maxwell equations with
spatially varying and Kramers-Kronig consistent permittivity are regarded as
operator-valued field equations, introducing additional current- and
charge-density operator fields in order to take into account the noise
associated with the dissipation in the medium. It is shown that the equal-time
commutation relations between the fundamental electromagnetic fields $\hat E$
and $\hat B$ and the potentials $\hat A$ and $\hat \phi$ in the Coulomb gauge
can be expressed in terms of the Green tensor of the classical problem. From
the Green tensors for bulk material and an inhomogeneous medium consisting of
two bulk dielectrics with a common planar interface it is explicitly proven
that the well-known equal-time commutation relations of QED are preserved.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 11:20:32 GMT""}]","2009-10-30"
