"alg-geom/9710017","Martin Deschamps Mireille","Robin Hartshorne, Mireille Martin-Deschamps, Daniel Perrin","Un th\'eor\`eme de Rao pour les familles de courbes gauches","22 pages, TeX",,,,"alg-geom math.AG",,"  The aim of this paper is to prove a generalization of a theorem of Rao for
families of space curves, which caracterizes the biliaison classes of curves.
First we introduce the concept of pseudo-isomorphism of coherent sheaves, which
generalizes the concept of stable isomorphism. An N-type resolution for a
family of curves $C$ over the local ring $A$, defined by an ideal $J$, is an
exact sequence $0\to P\to N\to J\to 0$ where $N$ is a locally free sheaf on
$P^3_A$ and $P$ is a direct sum of invertible sheaves $O_P(-n_i)$. We prove the
two following results, when the residual field of $A$ is infinite : 1. Let $C$
and $C'$ be two flat families of space curves over the local ring $A$. Then $C$
and $C'$ are in the same biliaison class if and only if their ideals $J$ and
$J'$ are pseudo-isomorphic, up to a shift. 2. Let $C$ and $C'$ be two flat
families of space curves over the local ring $A$, with N-type resolutions,
involving sheaves $N$ and $N'$. Then $C$ and $C'$ are in the same biliaison
class if and only if $N$ and $N'$ are pseudo-isomorphic, up to a shift.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 10:48:55 GMT""}]","2007-05-23"
"hep-ph/9710358","Z. Hioki","L. Brzezinski, B. Grzadkowski and Z. Hioki","Effects of Non-Standard Interactions for the Energy Spectrum of
  Secondary Leptons in e^+e^- --> t t-bar","Final version, to appear in Int. J. Mod. Phys. A","Int.J.Mod.Phys. A14 (1999) 1261-1282","10.1142/S0217751X99000646","IFT-10-97 -- TOKUSHIMA 97-01","hep-ph hep-ex",,"  The process of top-quark pair production followed by semileptonic decays at
future high-energy e^+e^- linear colliders is investigated as a possible test
of physics beyond the Standard Model. Assuming the most general non-standard
forms for gamma t t-bar, Z t t-bar and Wtb couplings, the energy spectrum of
the single lepton l^{+-} and the energy correlation of l^+ and l^- emerging
from the process e^+e^- --> t t-bar --> l^{+-} ... /l^+l^- ... are calculated.
Expected precision of the non-standard-parameter determination is estimated
adopting the recently-proposed optimal method.
","[{""version"":""v1"",""created"":""Tue, 14 Oct 1997 23:47:03 GMT""},{""version"":""v2"",""created"":""Fri, 17 Oct 1997 07:00:24 GMT""},{""version"":""v3"",""created"":""Fri, 31 Oct 1997 03:37:19 GMT""},{""version"":""v4"",""created"":""Fri, 25 Sep 1998 08:48:05 GMT""}]","2009-10-30"
"hep-ph/9710359","Saeed M. Al-amoudi","S. M. Alamoudi (1), D. Boyanovsky (1) and F. I. Takakura (1 and 2)
  ((1) University of Pittsburgh, (2) Instituto de Ci\^encias Exatas)","Domain Walls Out of Equilibrium","39 pages, LaTex, 9 figures (3 EPS; 6 GIF), minor changes","Phys.Rev. D58 (1998) 105003","10.1103/PhysRevD.58.105003",,"hep-ph hep-th",,"  We study the non-equilibrium dynamics of domain walls in real time for
$\phi^4$ and Sine Gordon models in 1+1 dimensions in the dilute regime. The
equation of motion for the collective coordinate is obtained by integrating out
the meson excitations around the domain wall to one-loop order. The real-time
non-equilibrium relaxation is studied analytically and numerically to this
order. The constant friction coefficient vanishes but there is dynamical
friction and relaxation caused by off-shell non-Markovian effects. The validity
of a Markovian description is studied in detail. The proper Langevin equation
is obtained to this order, the noise is Gaussian and additive but colored. We
analyze the classical and hard thermal loop contributions to the self-energy
and noise kernels and show that at temperatures larger than the meson mass the
hard contributions are negligible and the finite temperature contribution to
the dynamics is governed by the classical soft modes of the meson bath. The
long time relaxational dynamics is completely dominated by classical Landau
damping resulting in that the corresponding time scales are not set by the
temperature but by the meson mass. The noise correlation function and the
dissipative kernel obey a generalized form of the Fluctuation-Dissipation
relation.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 05:53:46 GMT""},{""version"":""v2"",""created"":""Wed, 29 Apr 1998 04:25:41 GMT""}]","2009-10-30"
"hep-ph/9710360","Roberto Ugoccioni","R. Ugoccioni and A. Giovannini (Torino Univ. & INFN, Torino)","Oscillations of Moments and Structure of Multiplicity Distributions in
  e+e- Annihilation","6 pages, LaTeX2e (uses amsmath,epsfig,espcrc2), 4 postscript figures.
  To be published in the Proceedings of the XXVII International Symposium on
  Multiparticle Dynamics, Frascati (Italy), September 8--12, 1997","Nucl.Phys.Proc.Suppl.71:211-215,1999","10.1016/S0920-5632(98)00344-2","DFTT 64/97","hep-ph",,"  Starting from the recognized fact that oscillations of moments with rank and
shoulder structure in the multiplicity distribution have the same origin in the
full sample of events in e+e- annihilation, we push our investigation to the
2-jet sample level, and argue in favor of the use of the negative binomial
multiplicity distribution as the building block of multiparticle production in
e+e- annihilation events. It will be shown that this approach leads to definite
predictions for the correlation structure, e.g., that correlations are flavour
independent.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 07:55:59 GMT""}]","2008-11-26"
"hep-ph/9710361","Roberto Ugoccioni","A. Giovannini and R. Ugoccioni (Torino Univ. & INFN, Torino)","Soft and Semi-Hard Components Structure in Multiparticle Production in
  High Energy Collisions","11 pages, LaTeX2e (uses amsmath,epsfig,espcrc2), 6 postscript
  figures. To be published in the Proceedings of the XXVII International
  Symposium on Multiparticle Dynamics, Frascati (Italy), September 8--12, 1997","Nucl.Phys.Proc.Suppl.71:201-210,1999","10.1016/S0920-5632(98)00343-0","DFTT 65/97","hep-ph",,"  Superposition of jets of different flavors as well as superposition of jets
of different topologies describe well observed structures (shoulder, H_q
oscillations) in e+e- annihilation. The analysis of similar effects seen in
experimental data in hadron-hadron collision is performed successfully by
superimposing soft and semi-hard contributions at various energies. Negative
Binomial multiplicity distributions are chosen in all examined classes of
collisions as elementary substructures, i.e., as QCD inspired genuine
self-similar fractal processes. Predictions on final particle multiplicity
distributions in hadron-hadron collisions at 14 TeV are discussed.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 08:07:01 GMT""}]","2008-11-26"
"hep-ph/9710362","Dirk Petry","H. Meyer (University of Wuppertal, Germany)","Photons from the Universe - New Frontiers in Astronomy","14 pages, invited talk at the Gamma-Gamma conference ``Photon '97'',
  Egmond aan Zee, The Netherlands, May 1997",,,,"hep-ph",,"  This century has seen a dramatic increase in observational possibilities of
the physics of the universe. Several of the very recent new developments with
emphasis on the particle physics aspect and in particular Gamma-Gamma
interactions are briefly discussed in this talk.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 09:03:22 GMT""}]","2007-05-23"
"hep-ph/9710363","Mary Hall Reno","L. Pasquali (U. Iowa), M. H. Reno (U. Iowa and CERN), I. Sarcevic (U.
  Arizona)","Secondary Decays in Atmospheric Charm Contributions to the Flux of Muons
  and Muon Neutrinos","14 pages, 4 figures, Latex, psfig","Astropart.Phys.9:193-202,1998","10.1016/S0927-6505(98)00019-X","CERN-TH/97-283, AZPH-TH/97-12","hep-ph astro-ph",,"  We present a calculation of the fluxes of muons and muon neutrinos from the
decays of pions and kaons that are themselves the decay products of charmed
particles produced in the atmosphere by cosmic ray-air collisions. Using the
perturbative cross section for charm production, these lepton fluxes are two to
three orders of magnitude smaller than the fluxes from the decays of pions and
kaons directly produced in cosmic ray-air collisions. Intrinsic charm models do
not significantly alter our conclusions, nor do models with a charm cross
section enhanced in the region above an incident cosmic ray energy of 1 TeV.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 12:57:54 GMT""}]","2014-11-17"
"hep-ph/9710364","John Gracey","J.F. Bennett and J.A. Gracey","Determination of the anomalous dimension of gluonic operators in deep
  inelastic scattering at O(1/N_f)","26 latex pages, 7 postscript figures","Nucl.Phys.B517:241-268,1998","10.1016/S0550-3213(98)00021-2","LTH 414","hep-ph",,"  Using large N_f methods we compute the anomalous dimension of the
predominantly gluonic flavour singlet twist-2 composite operator which arises
in the operator product expansion used in deep inelastic scattering. We obtain
a d-dimensional expression for it which depends on the operator moment n. Its
expansion in powers of epsilon = (4-d)/2 agrees with the explicit exact three
loop MSbar results available for n less than or equal to 8 and allows us to
determine some new information on the explicit n-dependence of the three and
higher order coefficients. In particular the n-dependence of the three loop
anomalous dimension gamma_{gg}(a) is determined in the C_2(G) sector at
O(1/N_f).
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 14:41:18 GMT""}]","2008-11-26"
"hep-th/9710105","Csaba Csaki","Csaba Csaki and Hitoshi Murayama (Berkeley)","Discrete Anomaly Matching","LaTeX, 53 pages","Nucl.Phys.B515:114-162,1998","10.1016/S0550-3213(97)00839-0","LBNL-40898, UCB-PTH-97/52","hep-th hep-ph",,"  We extend the well-known 't Hooft anomaly matching conditions for continuous
global symmetries to discrete groups. We state the matching conditions for all
possible anomalies which involve discrete symmetries explicitly. There are two
types of discrete anomalies. For Type I anomalies, the matching conditions have
to be always satisfied regardless of the details of the massive bound state
spectrum. The Type II anomalies have to be also matched except if there are
fractionally charged massive bound states in the theory. We check discrete
anomaly matching in recent solutions of certain N=1 supersymmetric gauge
theories, most of which satisfy these constraints. The excluded examples
include the chirally symmetric phase of N=1 pure supersymmetric Yang-Mills
theories described by the Veneziano-Yankielowicz Lagrangian and certain
non-supersymmetric confining theories. The conjectured self-dual theories based
on exceptional gauge groups do not satisfy discrete anomaly matching nor
mapping of operators, and are viable only if the discrete symmetry in the
electric theory appears as an accidental symmetry in the magnetic theory and
vice versa.
","[{""version"":""v1"",""created"":""Tue, 14 Oct 1997 20:41:11 GMT""}]","2009-09-17"
"hep-th/9710113","Manuel Torres Labansat","Manuel Torres (UNAM)","Domain walls in a Chern-Simons theory","4 pages, Talk given at the Solitons Conference, July 1997, in
  Kingston Canada, To appear in the proccedings (Springer Verlag)",,,,"hep-th",,"  We study an Abelian Maxwell-Chern-Simons model in $2 +1 $ dimensions which
includes a magnetic moment interaction. We show that this model possesses
domain wall as well as vortex solutions.
","[{""version"":""v1"",""created"":""Tue, 14 Oct 1997 16:12:43 GMT""}]","2007-05-23"
"hep-th/9710114",,"J.J.M. Verbaarschot","Universal Behavior in Dirac Spectra","37 pages, 6 figures, Exentend version of lectures given at the ""Nato
  Advanced Study Institute"" on ""Confinement, Duality, and Non-Perturbative
  Aspects of QCD"", Cambridge 1997",,,,"hep-th",,"  In these lectures we review recent results on universal fluctuations of QCD
Dirac spectra and applications of Random Matrix Theory (RMT) to QCD. We review
general properties of Dirac spectra and discuss the relation between chiral
symmetry breaking and correlations of Dirac eigenvalues. In particular, we will
focus on the microscopic spectral density density, i.e. the spectral density
near zero virtuality on the scale of a typical level spacing. The relation with
Leutwyler-Smilga sum-rules will be discussed. The success of applications of
RMT to spectra of 'complex' systems leads us to the introduction of a chiral
Random Matrix Theory (chRMT) with the global symmetries of the QCD partition
function. Our central conjecture is that it decribes correlations of QCD Dirac
spectra. We will review recent universality proofs supporting this conjecture.
Lattice QCD results for the microscopic spectral density and for correlations
in the bulk of the spectrum are shown to be in perfect agreement with chRMT. We
close with a review of chRMT at nonzero chemical potential. Novel features of
spectral universality in nonhermitean matrices will be discussed. As an
illustration of mathematical methods used in RMT several important recent
results will be derived in all details. We mention the derivation of the
microscopic spectral density, the universality proof by Akemann, Damgaard,
Magnea and Nishigaki, the spectral density of a chRMT at nonzero temperature
and the Stephanov solution for chRMT at nonzero chemical potential.
","[{""version"":""v1"",""created"":""Tue, 14 Oct 1997 17:20:38 GMT""}]","2007-05-23"
"hep-th/9710115","Gerald Dunne","G. Dunne (UConn) and J. Mannix (UC, Santa Cruz)","Supersymmetry Breaking with Periodic Potentials","10 pp; Latex; 3 figures using epsf","Phys.Lett. B428 (1998) 115-119","10.1016/S0370-2693(98)00373-6",,"hep-th",,"  We discuss supersymmetry breaking in some supersymmetric quantum mechanical
models with periodic potentials. The sensitivity to the parameters appearing in
the superpotential is more acute than in conventional nonperiodic models. We
present some simple elliptic models to illustrate these points.
","[{""version"":""v1"",""created"":""Tue, 14 Oct 1997 17:43:01 GMT""}]","2009-10-30"
"hep-th/9710116","Barak Kol","Ofer Aharony, Amihay Hanany, Barak Kol","Webs of (p,q) 5-branes, Five Dimensional Field Theories and Grid
  Diagrams","72 pages, latex, 25 figures, references and small corrections added","JHEP 9801:002,1998","10.1088/1126-6708/1998/01/002","IASSNS-HEP-97/113, RU-97-81, SU-ITP-97-40","hep-th",,"  We continue to study 5d N=1 supersymmetric field theories and their
compactifications on a circle through brane configurations. We develop a model,
which we call (p,q) Webs, which enables simple geometrical computations to
reproduce the known results, and facilitates further study. The physical
concepts of field theory are transparent in this picture, offering an
interpretation for global symmetries, local symmetries, the effective (running)
coupling, the Coulomb and Higgs branches, the monopole tensions, and the mass
of BPS particles. A rule for the dimension of the Coulomb branch is found by
introducing Grid Diagrams. Some known classifications of field theories are
reproduced. In addition to the study of the vacuum manifold we develop methods
to determine the BPS spectrum. Some states, such as quarks, correspond to
instantons inside the 5-brane which we call strips. In general, these may not
be identified with (p,q) strings. We describe how a strip can bend out of a
5-brane, becoming a string. A general BPS state corresponds to a Web of strings
and strips. For special values of the string coupling a few strips can combine
and leave the 5-brane as a string.
","[{""version"":""v1"",""created"":""Tue, 14 Oct 1997 21:18:00 GMT""},{""version"":""v2"",""created"":""Wed, 15 Oct 1997 23:42:17 GMT""},{""version"":""v3"",""created"":""Mon, 10 Nov 1997 02:28:15 GMT""}]","2016-09-06"
"hep-th/9710117","Jani Lukkarinen","Jani Lukkarinen","Lattice Approximation of Quantum Statistical Traces at a Complex
  Temperature","9 pages revtex with amstex","J.Math.Phys. 39 (1998) 3670-3677","10.1063/1.532459","HIP-1997-58/TH","hep-th funct-an math.FA",,"  We prove that the simple condition on the potential V, \int exp(-t V) <
\infty for all t>0, is sufficient for the lattice approximation of the trace
Tr[A exp(-b H)] with (Re b)>0 to work for all bounded functions A and a large
class of potentials. As a by-product we obtain an explicit bound for the
real-temperature lattice kernels.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 07:27:49 GMT""}]","2009-10-30"
"hep-th/9710118","Loriano Bonora","L.Bonora, A.Sorin","The N=2 supersymmetric Toda lattice and matrix models","22 pages, Latex","Nucl.Phys. B521 (1998) 444-470","10.1016/S0550-3213(98)00223-5","SISSA 131/97/EP","hep-th nlin.SI solv-int",,"  We propose a new integrable N=2 supersymmetric Toda lattice hierarchy which
may be relevant for constructing a supersymmetric one-matrix model. We define
its first two Hamiltonian structures, the recursion operator and Lax--pair
representation. We provide partial evidence for the existence of an
infinite-dimensional N=2 superalgebra of its flows. We study its bosonic limit
and introduce new Lax-pair representations for the bosonic Toda lattice
hierarchy. Finally we discuss the relevance this approach for constructing N=2
supersymmetric generalized Toda lattice hierarchies.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 09:42:53 GMT""}]","2009-10-30"
"hep-th/9710119","Hong Lu","E. Cremmer, B. Julia, H. Lu and C.N. Pope","Dualisation of Dualities, I","Latex, 82 pages, minor corrections and references added","Nucl.Phys.B523:73-144,1998","10.1016/S0550-3213(98)00136-9","CTP TAMU-27/97, LPTENS-97/27, SISSARef-132/97/EP","hep-th",,"  We analyse the global (rigid) symmetries that are realised on the bosonic
fields of the various supergravity actions obtained from eleven-dimensional
supergravity by toroidal compactification followed by the dualisation of some
subset of fields. In particular, we show how the global symmetries of the
action can be affected by the choice of this subset. This phenomenon occurs
even with the global symmetries of the equations of motion. A striking
regularity is exhibited by the series of theories obtained respectively without
any dualisation, with the dualisation of only the Ramond-Ramond fields of the
type IIA theory, with full dualisation to lowest degree forms, and finally for
certain inverse dualisations (increasing the degrees of some forms) to give the
type IIB series. These theories may be called the GL_A, D, E and GL_B series
respectively. It turns out that the scalar Lagrangians of the E series are
sigma models on the symmetric spaces K(E_{11-D})\backslash E_{11-D} (where K(G)
is the maximal compact subgroup of G) and the other three series lead to models
on homogeneous spaces K(G) \backslash G\semi \R^s. These can be understood from
the E series in terms of the deletion of positive roots associated with the
dualised scalars, which implies a group contraction. We also propose a
constrained Lagrangian version of the even dimensional theories exhibiting the
full duality symmetry and begin a systematic analysis of abelian duality
subalgebras.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 12:03:53 GMT""},{""version"":""v2"",""created"":""Sat, 22 Aug 1998 14:33:01 GMT""}]","2009-10-07"
"hep-th/9710121","Shahin S. Jabbari","M.M. Sheikh-Jabbari","Classification of Different Branes at Angles","Tex, 11 page, no figures","Phys.Lett.B420:279-284,1998","10.1016/S0370-2693(97)01550-5","IPM-97-247","hep-th",,"  In this paper, we consider two D-branes rotated with respect to each other,
and argue that in this way one can find brane configurations preserving ${1 \f
16}$ of SUSY. Also we classify different brane configurations preserving ${1 \f
2}$, ${1 \f 4}$, ${3 \f 16}$,${1 \f 8}$, ${1 \f 16}$ of SUSY.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 13:31:29 GMT""}]","2009-10-07"
"hep-th/9710122","Emil Martinec","Emil Martinec","M-theory and N=2 Strings","29 pages, latex; lectures at the Cargese summer school Strings,
  Branes, and Dualities, June 1997",,,,"hep-th",,"  N=2 heterotic strings may provide a window into the physics of M-theory
radically different than that found via the other supersymmetric string
theories. In addition to their supersymmetric structure, these strings carry a
four-dimensional self-dual structure, and appear to be completely integrable
systems with a stringy density of states. These lectures give an overview of
N=2 heterotic strings, as well as a brief discussion of possible applications
of both ordinary and heterotic N=2 strings to D-branes and matrix theory.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 13:42:35 GMT""}]","2007-05-23"
"hep-th/9710123","Andrei Smilga","A.V. Smilga, A.I. Veselov","Domain Walls Zoo in Supersymmetric QCD","23 pages, LaTeX, 11 figures","Nucl.Phys.B515:163-183,1998","10.1016/S0550-3213(97)00832-8","ITEP-TH-50/97, Saclay/SPhT/T97-116","hep-th",,"  Solving numerically the equations of motion for the effective lagrangian
describing supersymmetric QCD with the SU(2) gauge group, we find a menagerie
of complex domain wall solutions connecting different chirally asymmetric
vacua. Some of these solutions are BPS saturated walls; they exist when the
mass of the matter fields does not exceed some critical value m < m* <
4.67059... There are also sphaleron branches (saddle points of the ebergy
functional). In the range m* < m < m** \approx 4.83, one of these branches
becomes a local minimum (which is not a BPS saturated one). At m > m*, the
complex walls disappear altogether and only the walls connecting a chirally
asymmetric vacuum with the chirally symmetric one survive.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 15:02:40 GMT""}]","2008-11-26"
"hep-th/9710125","Maxim Zabzine","Myck Schwetz (Rutgers U.), Maxim Zabzine (Stockholm U.)","Gaugino condensate and Veneziano-Yankielowicz effective Lagrangian","10 pages, LaTeX",,,"RU-97-83, USITP-97-14","hep-th",,"  We study the sypersymmetric pure Yang-Mills theory with semisimple Lie
groups. We show that the general form of the gluino condensate is determined
solely by the symmetries of the theory and it is in disagreement with the
recently proposed existence of a conformal phase in SYM theory. We discuss the
peculiarities of the Veneziano-Yankielowicz effective Lagrangian approach and
explain how it is related to the calculation of the gluino condensate
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 15:33:57 GMT""}]","2007-05-23"
"math/9710202","J\""org Wenzel","Joerg Wenzel","Ideal norms associated with the UMD-property",,,,"Banach Archive 10/15/97","math.FA",,"  We prove the asymptotic equivalence of three sequences of ideal norms
associated with the UMD-property of Banach spaces.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 00:00:00 GMT""}]","2009-09-25"
"math/9710203","J\""org Wenzel","Joerg Wenzel","A supplement to my paper on real and complex operator ideals",,,,"Banach Archive 10/15/97","math.FA",,"  We show that the main problem left open in Wenzel: ""Real and complex operator
ideals"" (wenzelopidls.latex), can be solved using the Banach spaces $Z_\alpha$
recently constructed by Kalton: ""An elementary example of a Banach space not
isomorphic to its complex conjugate"" (kaltoncmplxbsp.tex). This gives an
example of a complex operator ideal that has no real analogue. It thus shows
the richer structure of complex operator ideals compared with the real ones.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 00:00:00 GMT""}]","2016-09-07"
"math/9710204","J\""org Wenzel","Joerg Wenzel","Superreflexivity and J-convexity of Banach spaces",,,,"Banach Archive 10/15/97","math.FA",,"  A Banach space X is superreflexive if each Banach space Y that is finitely
representable in X is reflexive. Superreflexivity is known to be equivalent to
J-convexity and to the non-existence of uniformly bounded factorizations of the
summation operators S_n through X. We give a quantitative formulation of this
equivalence. This can in particular be used to find a factorization of S_n
through X, given a factorization of S_N through [L_2,X], where N is `large'
compared to n.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 00:00:00 GMT""}]","2016-09-07"
"math/9710210","Marco Martens","Marco Martens and Welington de Melo","The multipliers of periodic points in one-dimensional dynamics",,"Nonlinearity 12 (1999), 217--227","10.1088/0951-7715/12/2/003","Stony Brook IMS 1997/12. Dynamical Systems 10/15/97","math.DS",,"  It will be shown that the smooth conjugacy class of an $S-$unimodal map which
does not have a periodic attractor neither a Cantor attractor is determined by
the multipliers of the periodic orbits. This generalizes a result by M.Shub and
D.Sullivan for smooth expanding maps of the circle.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 00:00:00 GMT""},{""version"":""v2"",""created"":""Tue, 11 Aug 1998 17:06:38 GMT""}]","2009-10-30"
"math/9710211",,"Karsten Keller","Correspondence and translation principles for the Mandelbrot set","26 pages, 7 PostScript figures",,,"Stony Brook IMS 1997/14. Dynamical Systems 10/15/97","math.DS",,"  New insights into the combinatorial structure of the Mandelbrot set are given
by `Correspondence' and `Translation' Principles both conjectured and partially
proved by E. Lau and D. Schleicher. We provide complete proofs of these
principles and discuss results related to them.
  Note: The `Translation' and `Correspondence' Principles given earlier turned
out to be false in the general case. In April 1999, an errata was added to
discuss which parts of the two statements are incorrect and which parts remain
true.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 00:00:00 GMT""},{""version"":""v2"",""created"":""Wed, 26 May 1999 22:27:19 GMT""}]","2007-05-23"
"math/9710212",,"Jan Kiwi","Rational rays and critical portraits of complex polynomials","50 pages, 15 PostScript figures",,,"Stony Brook IMS 1997/15. Dynamical Systems 10/15/97","math.DS",,"  The aim of this work is to describe the equivalence relations in $\Q/\Z$ that
arise as the rational lamination of polynomials with all cycles repelling. We
also describe where in parameter space one can find a polynomial with all
cycles repelling and a given rational lamination. At the same time we derive
some consequences that this study has regarding the topology of Julia sets.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 00:00:00 GMT""}]","2007-05-23"
"math/9710215","Shelah Office","Mirna D\v{z}amonja, Saharon Shelah","Similar but not the same: various versions of club do not coincide",,,,"Shelah [DjSh:574]","math.LO",,"  Various versions of club are shown to be different. A question of Soukup,
Fuchino and Juhasz, is it consistent to have a stick without club, is answered
as a consequence. The more detailed version of the paper, which is coming up,
also answers a question of Galvin.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 00:00:00 GMT""}]","2009-09-25"
"math/9710216","Shelah Office","Saharon Shelah, Lee Stanley","Consistency of partition relation for cardinal in (lambda,2^lambda)",,,,"Shelah [ShSt:608]","math.LO",,"  We present a forcing for blowing up 2^lambda and making ``many positive
polarized partition relations'' (in a sense made precise in (c) of our main
theorem) hold in the interval [lambda, 2^lambda]. This generalizes results of
[276], Section 1, and the forcing is a ``many cardinals'' version of the
forcing there.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 00:00:00 GMT""}]","2007-05-23"
"math/9710217","Shelah Office","J\""org Brendle, Saharon Shelah","Ultrafilters on omega --- their ideals and their cardinal
  characteristics",,,,"Shelah [BnSh:642]","math.LO",,"  For a free ultrafilter U on omega we study several cardinal characteristics
which describe part of the combinatorial structure of U. We provide various
consistency results; e.g. we show how to force simultaneously many characters
and many pi --characters. We also investigate two ideals on the Baire space
omega^omega naturally related to U and calculate cardinal coefficients of these
ideals in terms of cardinal characteristics of the underlying ultrafilter.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 00:00:00 GMT""}]","2016-09-07"
"math/9710218","Shelah Office","Aapo Halko, Saharon Shelah","On strong measure zero subsets of {}^kappa 2 .",,,,"Shelah [Sh:662]","math.LO",,"  This paper answers three questions posed by the first author. In Theorem 2.6
we show that the family of strong measure zero subsets of {}^{omega_1}2 is
2^{aleph_1}-additive under GMA and CH. In Theorem 3.1 we prove that the
generalized Borel conjecture is false in {}^{omega_1}2 assuming ZFC+CH. Next,
in Theorem 4.2, we show that the family of subsets of {}^{omega_1}2 with the
property of Baire is not closed under the Souslin operation.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 00:00:00 GMT""}]","2009-09-25"
"math/9710220","Patrick Speissegger","Patrick Speissegger (Fields Institute)","The Pfaffian closure on an o-minimal structure",,"J. Reine Angew. Math. 508 (1999), pp. 198--211",,"FI-MT1997-015","math.RA",,"  Every o-minimal expansion R-tilde of the real field has an o-minimal
expansion P(R-tilde) in which the solutions to Pfaffian equations with
definable C^1 coefficients are definable.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 00:00:00 GMT""}]","2007-05-23"
"nucl-th/9710032",,"G.Q. Li, C.M. Ko, and W.S. Chung","K^+ production in baryon-baryon and heavy-ion collisions","to appear in Phys. Rev. C","Phys.Rev.C57:434-437,1998","10.1103/PhysRevC.57.434",,"nucl-th",,"  Kaon production cross sections in nucleon-nucleon, nucleon-delta and
delta-delta interactions are studied in a boson exchange model. For the latter
two interactions, the exchanged pion can be on-mass shell, only contributions
due to a virtual pion are included via the Peierls method by taking into
account the finite delta width. With these cross sections and also those for
pion-baryon interactions, subthreshold kaon production from heavy ion
collisions is studied in the relativistic transport model.
","[{""version"":""v1"",""created"":""Tue, 14 Oct 1997 21:43:43 GMT""}]","2008-11-26"
"nucl-th/9710033","Antonio Miguel Lallena Rojo","Eduardo Bauer and Antonio M. Lallena","On the role of the effective interaction in quasi-elastic electron
  scattering calculations","16 pages, 4 Postscript figures","Phys.Rev.C57:1681-1685,1998","10.1103/PhysRevC.57.1681",,"nucl-th",,"  The role played by the effective residual interaction in the transverse
nuclear response for quasi-free electron scattering is discussed. The analysis
is done by comparing different calculations performed in the Random--Phase
Approximation and Ring Approximation frameworks. The importance of the exchange
terms in this energy region is investigated and the changes on the nuclear
responses due to the modification of the interaction are evaluated. The
calculated quasi-elastic responses show clear indication of their sensibility
to the details of the interaction and this imposes the necessity of a more
careful study of the role of the different channels of the interaction in this
excitation region.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 12:05:32 GMT""}]","2008-11-26"
"nucl-th/9710034","Hartmuth Arenhoevel","H. Arenhoevel, G. Kress, R. Schmidt and P. Wilhelm (Mainz, Germany)","On the Gerasimov-Drell-Hearn sum rule for the deuteron","6 pages latex including 3 postscript figures, talk at the 15th Int.
  Conf. on Few-Body Problems in Physics, Groningen, Netherlands, 22-26 July
  1997. To be published in Nucl. Phys. A","Nucl.Phys. A631 (1998) 612c-617c","10.1016/S0375-9474(98)00077-3","MKPH-T-97-32","nucl-th",,"  The Gerasimov-Drell-Hearn sum rule is evaluated for the deuteron by explicit
integration up to 550 MeV including contributions from the photodisintegration
channel and from coherent and incoherent single pion production as well. The
photodisintegration channel converges fast enough in this energy range and
gives a large negative contribution, essentially from the $^1S_0$ resonant
state near threshold. Its absolute value is about the same size as the sum of
proton and neutron GDH values. It is only partially cancelled by the single
pion production contribution. But the incoherent channel has not reached
convergence at 550 MeV.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 14:50:49 GMT""}]","2015-06-26"
