"alg-geom/9712006","Toshiyuki Akita","Toshiyuki Akita","Homological infiniteness of Torelli groups","AMSLaTeX v.1.2, 6 pages",,,"Fukuoka University, Department of Applied Mathematics, preprint
  1997/12/01","alg-geom math.AG math.DG q-alg",,"  We prove that rational homology of the Torelli group of genus g is infinite
dimensional, provided g>6. This means that rational homology of the Torelli
space of genus g>6 is infinite dimensional. The Torelli groups with marked
points are also considered. In addition, we prove that rational homology of the
subgroup of the Torelli group of genus g generated by all the Dehn twists along
separating simple closed curves is infinite dimensional for g>2.
","[{""version"":""v1"",""created"":""Wed, 3 Dec 1997 20:03:26 GMT""}]","2007-05-23"
"patt-sol/9712001","Jorge Vinals","Francois Drolet and Jorge Vinals","Adiabatic reduction near a bifurcation in stochastically modulated
  systems","RevTeX, 19 pages and 16 figures","Phys. Rev. E 57, 5036 (1998).","10.1103/PhysRevE.57.5036",,"patt-sol nlin.PS",,"  We re-examine the procedure of adiabatic elimination of fast relaxing
variables near a bifurcation point when some of the parameters of the system
are stochastically modulated. Approximate stationary solutions of the
Fokker-Planck equation are obtained near threshold for the pitchfork and
transcritical bifurcations. Stochastic resonance between fast variables and
random modulation may shift the effective bifurcation point by an amount
proportional to the intensity of the fluctuations. We also find that
fluctuations of the fast variables above threshold are not always Gaussian and
centered around the (deterministic) center manifold as was previously believed.
Numerical solutions obtained for a few illustrative examples support these
conclusions.
","[{""version"":""v1"",""created"":""Wed, 3 Dec 1997 18:45:19 GMT""}]","2009-10-30"
"patt-sol/9712002","Roland Faller","R. Faller and L. Kramer (university of Bayreuth, Germany)","Phase chaos in the anisotropic complex Ginzburg-Landau Equation","4 pages RevTeX, 5 figures, little changes in figures and references,
  typos removed, accepted as Rapid Commun. in Phys. Rev. E","Phys. Rev. E57(6)R6249-6252(1998)","10.1103/PhysRevE.57.R6249","RF 2 - LK 131","patt-sol nlin.PS",,"  Of the various interesting solutions found in the two-dimensional complex
Ginzburg-Landau equation for anisotropic systems, the phase-chaotic states show
particularly novel features. They exist in a broader parameter range than in
the isotropic case, and often even broader than in one dimension. They
typically represent the global attractor of the system. There exist two
variants of phase chaos: a quasi-one dimensional and a two-dimensional
solution. The transition to defect chaos is of intermittent type.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 07:12:54 GMT""},{""version"":""v2"",""created"":""Wed, 15 Apr 1998 06:01:31 GMT""}]","2009-10-30"
"physics/9712007","H. Lustfeld","H. Lustfeld (Forum Modellierung, Forschungszentrum Juelich) and Z.
  Neufeld (Eotvos University, Budapest)","Chemical dynamics versus transport dynamics in a simple model","27 pages, 9 figures, submitted to Physica D",,,,"physics.flu-dyn physics.ao-ph",,"  Reaction equations of homogeneously mixed pollutants in the atmosphere can
lead to non-stationary periodic solutions. It is important to know in which
respect these solutions are modified under the influence of the atmospheric
currents. We investigate this question in a very simple model: The reaction
equations are modeled by the equations of the brusselator and the currents are
represented by an isolated vortex. In the limit of high vortex currents we find
again the homogeneous solutions whereas for smaller currents complicated
spatial and temporal patterns emerge. The role of the diffusion as a singular
perturbation is investigated.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 10:57:03 GMT""}]","2007-05-23"
"physics/9712008","Ulf Saalmann","O. Knospe (1 and 2), J. Jellinek (1), U. Saalmann (3), and R. Schmidt
  (2) ((1) Argonne National Lab, USA; (2) Technical University Dresden,
  Germany; (3) MPI Physics of Complex Systems Dresden, Germany)","Charge Transfer in Cluster-Atom Collisions Studied with Non-Adiabatic
  Quantum Molecular Dynamics","RevTeX (4 pages, 4 figures included with epsfig)",,,,"physics.atm-clus physics.atom-ph physics.chem-ph",,"  Charge transfer in collisions of Na_n^+ cluster ions with Cs atoms is
investigated theoretically in the microscopic framework of non-adiabatic
quantum molecular dynamics. The competing reaction channels and related
processes affecting the charge transfer (electronic excitations, fragmentation,
temperature) are described. Absolute charge transfer cross sections for
Na_n^+(2.7 keV) + Cs --> Na_n + Cs^+ have been calculated in the size range 4
<= n <= 11 reproducing the size dependence of the experimental cross sections.
The energy dependence of the cross section is predicted for n=4,7,9. An exotic
charge transfer channel producing Cs^- is found to have a finite probability.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 12:54:14 GMT""}]","2007-05-23"
"physics/9712009","Slava Yukalov","V. I. Yukalov","Nonadiabatic Dynamics of Atoms in Nonuniform Magnetic Fields","1 file, 17 pages, RevTex, 2 tables","Phys. Rev. A, 56, (1997) 5004-5013","10.1103/PhysRevA.56.5004",,"physics.atom-ph cond-mat",,"  Dynamics of neutral atoms in nonuniform magnetic fields, typical of
quadrupole magnetic traps, is considered by applying an accurate method for
solving nonlinear systems of differential equations. This method is more
general than the adiabatic approximation and, thus, permits to check the limits
of the latter and also to analyze nonadiabatic regimes of motion. An unusual
nonadiabatic regime is found when atoms are confined from one side of the
z-axis but are not confined from another side. The lifetime of atoms in a trap
in this semi-confining regime can be sufficiently long for accomplishing
experiments with a cloud of such atoms. At low temperature, the cloud is
ellipsoidal being stretched in the axial direction and moving along the z-axis.
The possibility of employing the semi-confining regime for studying the
relative motion of one component through another, in a binary mixture of gases
is discussed.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 13:10:34 GMT""}]","2009-10-30"
"q-alg/9712015","Cezary Juszczak","Cezary Juszczak and Jan T. Sobczyk (Institute of Theoretical Physics,
  University of Wroclaw, Wroclaw, Poland)","Classification of Low Dimensional Lie Super-Bialgebras","15 pages, LaTeX",,"10.1063/1.532504","IFT UWr 918/97","q-alg math.QA",,"  A thorough analysis of Lie super-bialgebra structures on Lie super-algebras
osp(1|2) and super-e(2) is presented. Combined technique of computer algebraic
computations and a subsequent identification of equivalent structures is
applied. In all the cases Poisson-Lie brackets on supergroups are found.
Possibility of quantizing them in order to obtain quantum groups is discussed.
It turns out to be straightforward for all but one structures for super-E(2)
group.
","[{""version"":""v1"",""created"":""Wed, 3 Dec 1997 19:10:14 GMT""}]","2015-06-26"
"q-alg/9712016","Masud Chaichian","M. Chaichian, P. Kulish and E.V. Damaskinsky","Dynamical systems related to the Cremmer-Gervais R-matrix","11 pages, latex, no figures",,,"Helsinki Institute of Physics preprint, HIP-1997-65/TH","q-alg hep-th math.QA",,"  The generalized Cremmer-Gervais R-matrix being a twist of the standard
R-matrix of $SL_q(3)$, depends on two extra parameters. Properties of this
R-matrix are discussed and two dynamical systems, the quantum group covariant
$q$-oscillator and an integrable spin chain with a non-hermitian Hamiltonian,
are constructed.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 09:18:32 GMT""}]","2007-05-23"
"q-alg/9712017","Dr. Marijan Milekovic","S.Meljanac (IRB,Zagreb), M.Milekovic (U.of Zagreb),
  M.Stojic(IRB,Zagreb)","Unification of parastatistics defined as triple operator algebras","18 pages, no figures, LaTex, some references added, to appear in
  Int.J.Mod.Phys.A",,"10.1142/S0217732398001078",,"q-alg math.QA",,"  We unify parastatistics, defined as triple operator algebras represented on
Fock space, in a simple way using the transition number operators. We express
them as a normal ordered expansion of creation and annihilation operators. We
discuss several examples of parastatistics, particularly Okubo's and Palev's
parastatistics connected to many-body Wigner quantum systems. We relate them to
the notion of extended Haldane statistics.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 15:48:55 GMT""},{""version"":""v2"",""created"":""Thu, 18 Dec 1997 10:31:50 GMT""}]","2009-10-30"
"quant-ph/9712010","Michael G. Moore","M. G. Moore and P. Meystre","Wave atom optics theory of the Collective Atomic-Recoil Laser","plain tex, 4 pages, 3 figures",,,,"quant-ph physics.atom-ph physics.optics",,"  We present a wave atom optics theory of the Collective Atomic-Recoil Laser,
where the atomic center-of-mass motion is treated quantum mechanically. It
extends the previous ray atom optics theory, which treated the center-of-mass
atomic motion classically, to the realm of ultracold atoms. For the case of a
far off resonant pump laser we derive an analytical solution which gives the
linear response of the CARL system for both the quantum and classical regimes.
A linear stability analysis reveals significant qualitative differences between
these two regimes, which arise from the effects of diffraction on the atomic
center-of-mass motion.
","[{""version"":""v1"",""created"":""Wed, 3 Dec 1997 16:51:37 GMT""}]","2007-05-23"
"quant-ph/9712011","Lov K. Grover","Lov K. Grover (Bell Labs, Murray Hill, NJ)","Quantum computers can search rapidly by using almost any transformation","This paper is an adapted version of quant-ph/9711043. It has been
  modified to make it more readable for physicists. 9 pages, postscript","Phys.Rev.Lett.80:4329-4332,1998","10.1103/PhysRevLett.80.4329",,"quant-ph",,"  A quantum computer has a clear advantage over a classical computer for
exhaustive search. The quantum mechanical algorithm for exhaustive search was
originally derived by using subtle properties of a particular quantum
mechanical operation called the Walsh-Hadamard (W-H) transform. This paper
shows that this algorithm can be implemented by replacing the W-H transform by
almost any quantum mechanical operation. This leads to several new applications
where it improves the number of steps by a square-root. It also broadens the
scope for implementation since it demonstrates quantum mechanical algorithms
that can readily adapt to available technology.
","[{""version"":""v1"",""created"":""Wed, 3 Dec 1997 22:06:53 GMT""}]","2009-01-23"
"quant-ph/9712012","Juan Fernando Poyatos","J. F. Poyatos (1,2), J.I. Cirac (1,2), and P. Zoller (2) ((1)
  Departamento de Fisica Aplicada, Universidad de Castilla-La Mancha, Spain (2)
  Institut fuer Theoretische Physik, Universitaet Innsbruck, Austria)","Quantum gates with ""hot"" trapped ions","4 pages, 2 eps figures","Phys.Rev.Lett.81:1322-1325,1998","10.1103/PhysRevLett.81.1322","SlikeiH-02","quant-ph",,"  We propose a scheme to perform a fundamental two-qubit gate between two
trapped ions using ideas from atom interferometry. As opposed to the scheme
considered by J. I. Cirac and P. Zoller, Phys. Rev. Lett. 74, 4091 (1995), it
does not require laser cooling to the motional ground state.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 11:28:46 GMT""}]","2009-01-23"
