"adap-org/9706005",,"Hans-Martin Br\""oker (1) and Peter Grassberger (1,2) ((1) Physics
  Department, University of Wuppertal, Germany (2) HLRZ c/o Forschungszentrum
  J\""ulich, Germany)","The Bak-Chen-Tang Forest Fire Model Revisited","4 pages, Latex with 5 figures incl., submitted to PRL",,,,"adap-org nlin.AO",,"  We reconsider a model introduced by Bak, Chen, and Tang (Phys. Rev. A 38, 364
(1988)) as a supposedly self-organized critical model for forest fires. We
verify again that the model is not critical in 2 dimensions, as found also by
previous authors. But we find that the model does show anomalous scaling (i.e.,
is critical in the sense of statistical mechanics) in 3 and 4 dimensions. We
relate these results to recent claims by A. Johansen.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 16:47:38 GMT""}]","2008-02-03"
"hep-th/9706162","Toshiaki Tanaka","T. Tanaka (Univ. of Tsukuba)","Variational Perturbation Approach to Resonance-State Wave Functions","10 pages, RevTeX, 4 ps figures. There were some calculational
  mistakes in the previous manuscript. The correct results obtained by our
  method show excellent agreement with the exact solutions","Phys.Lett. A238 (1998) 79-84","10.1016/S0375-9601(97)00901-8","UTHEP-362","hep-th nucl-th quant-ph",,"  The variational perturbation theory for wave functions, which has been shown
to work well for bound states of the anharmonic oscillator, is applied to
resonance states of the anharmonic oscillator with negative coupling constant.
We obtain uniformly accurate wave functions starting from the bound states.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 02:42:58 GMT""},{""version"":""v2"",""created"":""Wed, 26 Nov 1997 00:14:54 GMT""}]","2009-10-30"
"hep-th/9706163","Hiroshi Suzuki","Kiyoshi Okuyama and Hiroshi Suzuki (Ibaraki University)","Manifestly Gauge Covariant Treatment of Lattice Chiral Fermions. II","15 pages, PHYZZX. The title is changed. The final version to appear
  in Phys. Rev. D","Phys. Rev. D 56, 6829 (1997)","10.1103/PhysRevD.56.6829","IU-MSTP/21","hep-th hep-lat hep-ph",,"  We propose a new formulation of chiral fermions on a lattice, on the basis of
a lattice extension of the covariant regularization scheme in continuum field
theory. The species doublers do not emerge. The real part of the effective
action is just one half of that of Dirac-Wilson fermion and is always gauge
invariant even with a finite lattice spacing. The gauge invariance of the
imaginary part, on the other hand, sets a severe constraint which is a lattice
analogue of the gauge anomaly free condition. For real gauge representations,
the imaginary part identically vanishes and the gauge invariance becomes exact.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 05:49:09 GMT""},{""version"":""v2"",""created"":""Wed, 25 Jun 1997 01:58:58 GMT""},{""version"":""v3"",""created"":""Thu, 26 Jun 1997 07:05:47 GMT""},{""version"":""v4"",""created"":""Fri, 27 Jun 1997 10:06:53 GMT""},{""version"":""v5"",""created"":""Wed, 16 Jul 1997 05:21:52 GMT""},{""version"":""v6"",""created"":""Thu, 11 Sep 1997 08:54:58 GMT""}]","2016-08-25"
"hep-th/9706164","Azizollah Shafiekhani","A. Shafiekhani and M. Khorrami","Exactly and Quasi-Exactly Solvable Models on the Basis of $osp(2|1)$","8 pages, LaTex, no figures, The version to be appeared in Mod. Phys.
  Lett. A","Mod.Phys.Lett. A12 (1997) 1655-1661","10.1142/S0217732397001680","IPM-97-208","hep-th",,"  The exactly and quasi-exactly solvable problems for spin one-half in one
dimension on the basis of a hidden dynamical symmetry algebra of Hamiltonian
are discussed. We take the supergroup, $OSP(2|1)$, as such a symmetry. A number
of exactly solvable examples are considered and their spectrum are evaluated
explicitly. Also, a class of quasi-exactly solvable problems on the basis of
such a symmetry has been obtained.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 06:46:28 GMT""}]","2015-06-26"
"hep-th/9706165","Shibaji Roy","Shibaji Roy","SL(2, Z) Multiplets of Type II Superstrings in $D < 10$","13 pages, LaTeX, no figures, some statements regarding solutions in
  D=4 has been corrected, minor typos corrected, more typos corrected, some
  sentences of clarification have been added","Phys.Lett.B421:176-184,1998","10.1016/S0370-2693(98)00018-5","SINP-TNP/97-08","hep-th",,"  It has been shown recently that the toroidally compactified type IIB string
effective action possesses an SL(2, R) invariance. Using this symmetry we
construct an infinite family of macroscopic string-like solutions permuted by
SL(2, Z) group for type II superstrings in $4 \leq D < 10$. These solutions,
which formally look very similar to the corresponding solutions in $D = 10$,
are characterized by two relatively prime integers corresponding to the
`electric' charges associated with the two antisymmetric tensor fields of the
strings. Stability of these solutions is discussed briefly in the light of
charge conservation and the tension gap equation.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 10:02:46 GMT""},{""version"":""v2"",""created"":""Thu, 26 Jun 1997 09:29:24 GMT""},{""version"":""v3"",""created"":""Mon, 30 Jun 1997 08:14:06 GMT""},{""version"":""v4"",""created"":""Mon, 12 Jan 1998 08:11:29 GMT""}]","2010-11-19"
"hep-th/9706166","Ramon Cova","R. J. Cova (Universidad del Zulia, University of Durham) and W. J.
  Zakrzewski (University of Durham)","Soliton scattering in the O(3) model on a torus","23 pages including 8 pages of figures, latex. To appear in
  Nonlinearity","Nonlinearity10:1305-1317,1997","10.1088/0951-7715/10/5/015","DTP 96-59","hep-th",,"  Using numerical simulations, the stability and scattering properties of the
O(3) model on a two-dimensional torus are studied. Its solitons are found to be
unstable but can be stabilized by the addition of a Skyrme term to the
Lagrangian. Scattering at right angles with respect to the initial direction of
motion is observed in all cases considered. The model has no solutions of
degree one, so when a field configuration that resembles a soliton is
considered, it shrinks to become infinitely thin. A comparison of these results
with those of the model defined on the sphere is made.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 10:03:22 GMT""}]","2008-11-26"
"hep-th/9706167",,"Hitoshi Miyazaki, Izumi Tsutsui","Quantum Mechanically Induced Wess-Zumino Term in the Principal Chiral
  Model","9 pages, TeX","Mod.Phys.Lett. A13 (1998) 3017-3024","10.1142/S021773239800320X","KEK Preprint 97-84","hep-th",,"  It is argued that, in the two dimensional principal chiral model, the
Wess-Zumino term can be induced quantum mechanically, allowing the model with
the critical value of the coupling constant $\lambda^2 = 8\pi/|k|$ to turn into
the Wess-Zumino-Novikov-Witten model at the quantum level. The Wess-Zumino term
emerges from the inequivalent quantizations possible on a sphere hidden in the
configuration space of the original model. It is shown that the Dirac monopole
potential, which is induced on the sphere in the inequivalent quantizations,
turns out to be the Wess-Zumino term in the entire configuration space.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 10:38:13 GMT""}]","2016-09-06"
"nucl-th/9706056","Thomas Meissner","T.Meissner and E.M.Henley","Isospin Splitting in the Pion-Nucleon Couplings from QCD Sum Rules","contributed talk at CIPANP97 (Big Sky, Montana); 3 pages
  (aipproc.sty), no figures",,"10.1063/1.54246",,"nucl-th",,"  We use QCD sum rules for the three point function of a pseudoscalar and two
nucleonic currents in order to estimate the charge dependence of the pion
nucleon coupling constant coming from isospin violation in the strong
interaction. The effect can be attributed primarily to the difference of the
quark condensates <ubar u> and <dbar d>. Assuming that the pi0 is a pure
isostate we obtain for the splitting between the coupling of proton and neutron
to the neutral pion an interval of [0.008 ; 0.023], the uncertainties coming
mainly from the input parameters. In order to obtain the coupling to a physical
pi0 we have to take pi - eta mixing into account leading to an interval of
[0.012 ; 0.037]. The charged pion nucleon coupling is found to be the average
of the two neutral ones. Electromagnetic effects are not included.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 19:06:55 GMT""}]","2009-10-30"
"nucl-th/9706057",,"G.Q. Li, C.-H. Lee, and G.E. Brown","Kaons in dense matter, kaon production in heavy-ion collisions, and kaon
  condensation in neutron stars","ReVTeX, 77 pages, including 54 postscript figures","Nucl.Phys. A625 (1997) 372-434","10.1016/S0375-9474(97)00489-2","SUNYSB-NTG-97023","nucl-th astro-ph nucl-ex",,"  The recent past witnesses the growing interdependence between the physics of
hadrons, the physics of relativistic heavy-ion collisions, and the physics of
compact objects in astrophysics. A notable example is the kaon which plays
special roles in all the three fields. In this paper, we first review the
various theoretical investigations of kaon properties in nuclear medium,
focusing on possible uncertainties in each model. We then present a detailed
transport model study of kaon production in heavy-ion collisions at SIS
energies. We shall discuss especially the elementary kaon and antikaon
production cross sections in hadron-hadron interactions, that represent one of
the most serious uncertainties in the transport model study of particle
production in heavy-ion collisions. The main purpose of such a study is to
constrain kaon in-medium properties from the heavy-ion data. This can provide
useful guidances for the development of theoretical models of the kaon in
medium. In the last part of the paper, we apply the kaon in-medium properties
extracted from heavy-ion data to the study of neutron star properties. Based on
a conventional equation of state of nuclear matter that can be considered as
one of the best constrained by available experimental data on finite nuclei, we
find that the maximum mass of neutron stars is about 2$M_\odot$, which is
reduced to about 1.5$M_\odot$ once kaon condensation as constrained by
heavy-ion data is introduced.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 02:57:16 GMT""}]","2009-10-30"
"nucl-th/9706058","Rajeev Bhalerao","R. S. Bhalerao (Tata Institute of Fundamental Research, Mumbai) and V.
  Ravishankar (Indian Institute of Technology, Kanpur)","New Source Term for QGP Formation in the Background-Field Model","12 pages latex and 4 post-script figures","Phys.Lett. B409 (1997) 38-44","10.1016/S0370-2693(97)00820-4","TIFR/TH/97-20, 14 May 1997","nucl-th hep-ph",,"  We consider pair production in a space-time-dependent background field and
derive a source term, i.e., production rate in the one-particle phase space.
Such a source term is required in Boltzmann-equation-based models of
quark-gluon plasma formation and evolution. We compare the source term derived
here with the one that has been used in the literature so far. Significant
differences are observed.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 12:31:28 GMT""}]","2009-10-30"
"nucl-th/9706059","Boris Blankleider","A. N. Kvinikhidze, B. Blankleider (Flinders University)","Gauging the three-nucleon system","Contributed talk at ""XVth International Conference on Few-Body
  Problems in Physics"", Groningen, 1997, 2 pages, LateX, epsf, 1 Postscript
  figure",,,,"nucl-th",,"  We show how to attach an external photon to a system of three strongly
interacting nucleons described by three-body scattering equations. Our method
involves the idea of gauging the scattering equations themselves, and results
in electromagnetic amplitudes where the external photon is effectively coupled
to every part of every strong interaction diagram in the model. Current
conservation is therefore implemented in the theoretically correct fashion. In
this way we obtain the expressions needed to calculate all possible
electromagnetic processes of the three-nucleon system including the
electromagnetic form factors of the three-body bound state, pd -> pd gamma,
gamma He3 -> pd, gamma He3 -> ppn, etc. As the photon is coupled everywhere in
the strong interaction model, a unified description of the NNN-gamma NNN system
is obtained. An interesting aspect of our results is the natural appearance of
subtraction terms needed to avoid the overcounting of diagrams. We have also
applied the gauging of equations method to the four-dimensional description of
the piNN system which, because of the possibility of pion absorption, has
overcounting problems all of its own, and is therefore much more complicated
than the NNN case discussed here. Despite these complications, the gauging
procedure itself is very simple and leads easily to a unified description of
the piNN-gamma piNN system.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 10:22:28 GMT""}]","2007-05-23"
"nucl-th/9706060","Kouichi Hagino","K. Hagino, N. Takigawa, and A.B. Balantekin","Fusion barrier distributions in systems with finite excitation energy","9 pages, 4 figures, Submitted to Physical Review C","Phys.Rev.C56:2104-2108,1997","10.1103/PhysRevC.56.2104",,"nucl-th",,"  Eigen-channel approach to heavy-ion fusion reactions is exact only when the
excitation energy of the intrinsic motion is zero. In order to take into
account effects of finite excitation energy, we introduce an energy dependence
to weight factors in the eigen-channel approximation. Using two channel
problem, we show that the weight factors are slowly changing functions of
incident energy. This suggests that the concept of the fusion barrier
distribution still holds to a good approximation even when the excitation
energy of the intrinsic motion is finite. A transition to the adiabatic
tunneling, where the coupling leads to a static potential renormalization, is
also discussed.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 13:17:57 GMT""}]","2008-11-26"
"nucl-th/9706061","Alessandro Kievsky","Alejandro Kievsky","The complex Kohn variational method applied to N-d scattering","Latex, 22 pages; 5 figures","Nucl.Phys. A624 (1997) 125-139","10.1016/S0375-9474(97)81832-5",,"nucl-th",,"  The three-nucleon ground state and the N--d scattering states are obtained
using variational principles. The wave function of the system is decomposed
into angular-spin-isospin channels and the corresponding two dimensional
spatial amplitudes are expanded in a correlated polynomial basis. For the
scattering states, the complex form of the Kohn variational principle is used
to determine the $S$--matrix. Special attention is given to the convergence
pattern of the phase-shift and mixing parameters. The calculations have been
performed using realistic local NN potentials and three-nucleon forces.
Important features of the method are anomaly-free solutions and the low
dimensionality of the matrices involved allowing for the inclusion of a large
number of states. Very precise and stable numerical results have been obtained.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 14:02:07 GMT""}]","2009-10-30"
"nucl-th/9706063","Dr. Raja Ramanna","Raja Ramanna and Anju Sharma (National Institute of Advanced Studies,
  Bangalore)","The Systematics of Fundamental Particles and Unstable Nuclear Systems
  Using the Concept of Continuity and Discreteness",,,,,"nucl-th",,"  In this review, a new method is proposed based on Cantor's theory of
Cardinality to analyze the experimental data on unstable nuclear systems which
includes fundamental particles and their flavours, $\beta$-decay including spin
and parity, $\alpha$-decay and the systematics of the energy levels of light
nuclei. The method also derives a formula for the Binding Energies of unstable
nuclei. All this is based on the theory of discreteness and continuity.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 13:11:12 GMT""}]","2009-09-25"
"physics/9706030","Aguado","E. de la Puente, A. Aguado, A. Ayuela and J. M. Lopez","Structural and Electronic Properties of Small Neutral (MgO)n Clusters","24 pages, LaTeX, 7 figures in GIF format. Accepted for publication in
  Phys. Rev. B","Phys. Rev. B 56 (1997) 7607","10.1103/PhysRevB.56.7607",,"physics.atm-clus cond-mat physics.chem-ph",,"  Ab initio Perturbed Ion (PI) calculations are reported for neutral
stoichiometric (MgO)n clusters (n<14). An extensive number of isomer structures
was identified and studied. For the isomers of (MgO)n (n<8) clusters, a full
geometrical relaxation was considered. Correlation corrections were included
for all cluster sizes using the Coulomb-Hartree-Fock (CHF) model proposed by
Clementi. The results obtained compare favorably to the experimental data and
other previous theoretical studies. Inclusion of correlaiotn is crucial in
order to achieve a good description of these systems. We find an important
number of new isomers which allows us to interpret the experimental magic
numbers without the assumption of structures based on (MgO)3 subunits. Finally,
as an electronic property, the variations in the cluster ionization potential
with the cluster size were studied and related to the structural isomer
properties.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 19:01:07 GMT""}]","2009-10-30"
"physics/9706031","Vladimir M. Shabaev","V. M. Shabaev (1), M. Tomaselli (2), T. K\""uhl (3), A. N. Artemyev
  (1), and V. A. Yerokhin (1) ((1) St.Petersburg State University, (2)
  Institute f\""ur Kernphysik, Darmstadt, Germany, (3) Gesellschaft f\""ur
  Schwerionenforschung, Darmstadt, Germany)","Ground state hyperfine splitting of high Z hydrogenlike ions","12 pages, Latex",,"10.1103/PhysRevA.56.252",,"physics.atom-ph",,"  The ground state hyperfine splitting values of high Z hydrogenlike ions are
calculated. The relativistic, nuclear and QED corrections are taken into
account. The nuclear magnetization distribution correction (the Bohr-Weisskopf
effect) is evaluated within the single particle model with the g_{S}-factor
chosen to yield the observed nuclear moment. An additional contribution caused
by the nuclear spin-orbit interaction is included in the calculation of the
Bohr-Weisskopf effect. It is found that the theoretical value of the wavelength
of the transition between the hyperfine splitting components in ^{165}Ho^{66+}
is in good agreement with experiment.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 20:03:13 GMT""}]","2009-10-30"
"physics/9706032",,"Luis Gonzalez-Mestres (LPC College de France and LAPP Annecy)","Possible Effects of Lorentz Symmetry Violation on the Interaction
  Properties of Very High-Energy Cosmic Rays","LaTex, 4 pages, contribution to the Pre-Conference Workshops of the
  25th International Cosmic Ray Conference, Durban (South Africa), July 28 -
  August 8 , 1997",,,,"physics.gen-ph",,"  Special relativity has been tested at low energy with great accuracy, but
these results cannot be extrapolated to the very high-energy region.
Introducing a critical distance scale, $a$ , below 10E-25 cm (the wavelength
scale of the highest-energy observed cosmic rays) allows to consider models,
compatible with standard tests of special relativity, where a small violation
of Lorentz symmetry ($a$ can, for instance, be the Planck length, around 10E-33
cm) produces dramatic effects on the interaction properties of very high-energy
particles. Lorentz symmetry violation may potentially solve all the basic
problems raised by the highest-energy cosmic rays (origin and energy,
propagation...). Furthermore, superluminal sectors of matter may exist and
release very high-energy ordinary particles or directly produce very
high-energy cosmic-ray events with unambiguous signatures in very large
detectors. We discuss these phenomena, as well as the cosmic-ray energy range
(well below the energy scale associated to the fundamental length) and
experiments where they could be detected and studied.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 21:20:30 GMT""}]","2008-02-03"
"q-alg/9706031","Wladyslaw Marcinek","Wladyslaw Marcinek (University of Wroclaw)","Particles in Singular Magnetic Field","22 pages in Latex",,"10.1063/1.532557",,"q-alg math.QA",,"  An algebraic formalism for description of quantum states of charged particle
with spin moving in two-dimensional space under influence of singular magnetic
field is developed in terms of graded algebras. The fundamental assumption is
that the particle is transformed into a composite system which consists
quasiparticles, quasiholes and magnetic fluxes. Such system is endowed with
generalized statistics determined by a grading group and a commutation factor
on it. Composite systems corresponding to the quantum Hall effect and the
electronic magnetotransport anomaly are described. The Fock space
representation are also given.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 11:42:08 GMT""}]","2009-10-30"
"quant-ph/9706051","Nikolaos Mavromatos","John Ellis, N.E. Mavromatos, and D.V. Nanopoulos","Vacuum Fluctuations and Decoherence in Mesoscopic and Microscopic
  Systems","17 pages LATEX, 1 macro (sprocl.sty) required. Contribution to the
  Symposium on Flavour-Changing Neutral Currents: Present and Future Studies,
  UCLA (USA), February 1997",,,"CERN-TH/97-133, CTP-TAMU-28/97, ACT-10/97, OUTP-29P","quant-ph gr-qc hep-ph hep-th",,"  We discuss recent experimental evidence of decoherence in a laboratory
mesoscopic system in a cavity, from which we draw analogies with the
decoherence that we argue is induced by microscopic quantum-gravity
fluctuations in the space-time background. We emphasize the parallel r\^oles
played in both cases by dissipation through non-trivial vacuum fluctuations
that trigger the collapse of an initially coherent quantum state. We review a
phenomenological parametrization of possible effects of this kind in the
neutral kaon system, where they would induce CPT violation, and describe some
epxerimental tests.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 16:26:01 GMT""}]","2007-05-23"
"quant-ph/9706052","Markus Grassl","Markus Grassl and Thomas Beth (Universitaet Karlsruhe)","On the Complexity of Quantum Searching Using Complex Queries","4 pages, RevTeX, no figures",,,,"quant-ph",,"  We discuss the quantum search algorithm using complex queries that has
recently been published by Grover (quant-ph/9706005). We recall the algorithm
adding some details showing which complex query has to be evaluated. Based on
this version of the algorithm we discuss its complexity.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 20:17:16 GMT""}]","2007-05-23"
"quant-ph/9706054","Gyula Bene","Gyula Bene (Institute for Solid State Physics, Eo""tvo""s University,
  Budapest)","On the failure of Bell's theorem","4 pages, RevTeX",,,,"quant-ph",,"  Using a new approach to quantum mechanics we revisit Hardy's proof for Bell's
theorem and point out a loophole in it. We also demonstrate on this example
that quantum mechanics is a local realistic theory.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 13:22:48 GMT""}]","2007-05-23"
